species,category_x,e_bird_group,total_count,number_years,sort_v2025,species_code,taxon_concept_id,clements_v2025_change,text_for_website_v2025,category_y,scientific_name,authority,name_and_authority,range,order,family,extinct,extinct_year,sort_v2024
Western Sandpiper,species,Shorebirds,591,8,6231,wessan,avibase-01060BFD,range,"range changed from ""breeds Siberia and Alaska; winters to northern South America"" to ""breeds Chukotskiy Peninsula and Anadyr (northeastern Siberia; few), St. Lawrence Island (Bering Sea), and western and northern Alaska mainland; winters coastal Washington to Peru and Galapagos, southeastern Canada to Caribbean, and inland central Mexico to northern Costa Rica"".",species,Calidris mauri,"(Cabanis, 1857)","Calidris mauri (Cabanis, 1857)","breeds Chukotskiy Peninsula and Anadyr (northeastern Siberia; few), St. Lawrence Island (Bering Sea), and western and northern Alaska mainland; winters coastal Washington to Peru and Galapagos, southeastern Canada to Caribbean, and inland central Mexico to northern Costa Rica",Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,6167
Double-crested Cormorant,species,Cormorants and Anhingas,93,8,7424,doccor,avibase-3AC46C54,NA,NA,species,Nannopterum auritum,"(Lesson, 1831)","Nannopterum auritum (Lesson, 1831)","widespread coastal and inland temperate and subtropical North America from eastern Aleutian Islands and Gulf of St. Lawrence to southern Baja California, Yucatan Peninsula, Cuba, and Bahamas",Suliformes,Phalacrocoracidae (Cormorants and Shags),NA,NA,7342
Black-necked Stilt,species,Shorebirds,176,8,5770,bknsti,avibase-D543132B,NA,NA,species,Himantopus mexicanus,"(Müller, 1776)","Himantopus mexicanus (Müller, 1776)",coastal and inland wetlands of western to southeastern USA and Caribbean to central Argentina and southeastern Brazil; also Galapagos and Hawaiian islands,Charadriiformes,Recurvirostridae (Stilts and Avocets),NA,NA,5713
Great Blue Heron,species,"Herons, Ibis, and Allies",110,8,7753,grbher3,avibase-93694BB5,NA,NA,species,Ardea herodias,"Linnaeus, 1758","Ardea herodias Linnaeus, 1758","southeastern Alaska and southern Canada to southern Baja California and Central America, Galapagos, and islands off Venezuela",Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",NA,NA,7658
Green Heron,species,"Herons, Ibis, and Allies",24,8,7704,grnher,avibase-86D45B8F,NA,NA,species,Butorides virescens,"(Linnaeus, 1758)","Butorides virescens (Linnaeus, 1758)",southwestern and southeastern Canada to Panama and the Caribbean,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",NA,NA,7611
Dark-eyed Junco,species,New World Sparrows,46,6,33124,daejun,avibase-05FF3C9B,NA,NA,species,Junco hyemalis,"(Linnaeus, 1758)","Junco hyemalis (Linnaeus, 1758)","breeds in varied (often coniferous) forest, woodland, and shrubland from northeastern Alaska eastwards to Newfoundland and Labrador (northeastern Canada) southwards to northern Baja California and New Mexico, and in northeastern USA southwards in the Appalachian mountains to northernmost Georgia; winters from south-central Canada southwards to northern Baja California and Durango (central Mexico), and in eastern USA southwards to the Gulf coast and northern Florida",Passeriformes,Passerellidae (New World Sparrows),NA,NA,32842
American Kestrel,species,Falcons and Caracaras,39,8,12028,amekes,avibase-20C2214E,NA,NA,species,Falco sparverius,"Linnaeus, 1758","Falco sparverius Linnaeus, 1758","Alaska to Newfoundland, southward through Caribbean to Chile and Argentina to Tierra del Fuego",Falconiformes,Falconidae (Falcons and Caracaras),NA,NA,11913
California Thrasher,species,"Catbirds, Mockingbirds, and Thrashers",28,7,28054,calthr,avibase-20748450,NA,NA,species,Toxostoma redivivum,"(Gambel, 1845)","Toxostoma redivivum (Gambel, 1845)",chaparral from far south-central Oregon through California to northern Baja California,Passeriformes,Mimidae (Mockingbirds and Thrashers),NA,NA,27812
Hairy Woodpecker,species,Woodpeckers,15,5,11427,haiwoo,avibase-9D06AF89,name change - sciname,"Move polytypic Dryobates villosus to Leuconotopicus, as Leuconotopicus villosus",species,Leuconotopicus villosus,"(Linnaeus, 1766)","Leuconotopicus villosus (Linnaeus, 1766)","mostly forest from central Alaska southward across North America to southern California and northern Baja California del Norte, in Mexico, to southern Arizona and New Mexico, and southward along the Sierra Madre Oriental and Occidental of Mexico southeastward across montane regions of Guatemala, Honduras, El Salvador, Nicaragua and Costa Rica to westernmost Panama; in North America eastward to Newfoundland and southward along the Atlantic Coast to southern Florida and the Bahamas",Piciformes,Picidae (Woodpeckers),NA,NA,11314
White-tailed Kite,species,"Vultures, Hawks, and Allies",42,6,7843,whtkit,avibase-CAA5E106,NA,NA,species,Elanus leucurus,"(Vieillot, 1818)","Elanus leucurus (Vieillot, 1818)","various grassland and savanna-like habitats from northwestern US southward to Baja California, from southern Texas and north-central and northwestern Mexico southeastward across most Central America to eastern Panama and in southern Florida; in northern Colombia southward to the headwaters of the Río Cauca and Río Magdalena and southward locally in the Pacific lowlands to northwest Peru and in valleys of the Andes of Ecuador; east of the Andes in northern and eastern Venezuela and northern Guianas, occasionally to Trinidad, and southward to the tepui region of southern Venezuela, adjacent Guyana and northernmost Brazil; in the llanos of western Venezuela southward to eastern Colombia and northeastern Ecuador; from northeastern Brazil southward through eastern Bolivia, Paraguay and Uruguay to south-central Argentina, also westward to southeastern Peru and spreading northward in the Amazon of Brazil; and isolated in north-central to south-central Chile",Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",NA,NA,7748
