station,valid,p01m
SBA,9/20/2017 15:53,0
SBA,9/20/2017 16:53,0
SBA,9/20/2017 17:53,0
SBA,9/20/2017 18:53,0
SBA,9/20/2017 19:53,0
SBA,9/20/2017 20:53,0
SBA,9/20/2017 21:53,0
SBA,9/20/2017 22:53,0
SBA,9/20/2017 23:53,0
SBA,9/21/2017 0:53,0
SBA,9/21/2017 1:53,0
SBA,9/21/2017 2:53,0
SBA,9/21/2017 3:53,0
SBA,9/21/2017 4:53,0
SBA,9/21/2017 5:53,0
SBA,9/21/2017 6:53,0
SBA,9/21/2017 7:53,0
SBA,9/21/2017 8:53,0
SBA,9/21/2017 9:53,0
SBA,9/21/2017 10:53,0
SBA,9/21/2017 11:53,0
SBA,9/21/2017 12:53,0
SBA,9/21/2017 13:53,0
SBA,9/21/2017 14:53,0
SBA,9/21/2017 15:53,0
SBA,9/21/2017 16:53,0
SBA,9/21/2017 17:53,0
SBA,9/21/2017 18:53,0
SBA,9/21/2017 19:53,0
SBA,9/21/2017 20:53,0
SBA,9/21/2017 21:53,0
SBA,9/21/2017 22:53,0
SBA,9/21/2017 23:53,0
SBA,9/22/2017 0:53,0
SBA,9/22/2017 1:53,0
SBA,9/22/2017 2:53,0
SBA,9/22/2017 3:53,0
SBA,9/22/2017 4:53,0
SBA,9/22/2017 5:53,0
SBA,9/22/2017 6:53,0
SBA,9/22/2017 7:53,0
SBA,9/22/2017 8:53,0
SBA,9/22/2017 9:53,0
SBA,9/22/2017 10:53,0
SBA,9/22/2017 11:53,0
SBA,9/22/2017 12:53,0
SBA,9/22/2017 13:53,0
SBA,9/22/2017 14:53,0
SBA,9/22/2017 15:53,0
SBA,9/22/2017 16:53,0
SBA,9/22/2017 17:53,0
SBA,9/22/2017 18:53,0
SBA,9/22/2017 19:53,0
SBA,9/22/2017 20:53,0
SBA,9/22/2017 21:53,0
SBA,9/22/2017 22:53,0
SBA,9/22/2017 23:53,0
SBA,9/23/2017 0:53,0
SBA,9/23/2017 1:53,0
SBA,9/23/2017 2:53,0
SBA,9/23/2017 3:53,0
SBA,9/23/2017 4:53,0
SBA,9/23/2017 5:53,0
SBA,9/23/2017 6:53,0
SBA,9/23/2017 7:53,0
SBA,9/23/2017 8:53,0
SBA,9/23/2017 9:53,0
SBA,9/23/2017 10:53,0
SBA,9/23/2017 11:53,0
SBA,9/23/2017 12:53,0
SBA,9/23/2017 13:53,0
SBA,9/23/2017 14:53,0
SBA,9/23/2017 15:53,0
SBA,9/23/2017 16:53,0
SBA,9/23/2017 17:53,0
SBA,9/23/2017 18:53,0
SBA,9/23/2017 19:53,0
SBA,9/23/2017 20:53,0
SBA,9/23/2017 21:53,0
SBA,9/23/2017 22:53,0
SBA,9/23/2017 23:53,0
SBA,9/24/2017 0:53,0
SBA,9/24/2017 1:53,0
SBA,9/24/2017 2:53,0
SBA,9/24/2017 3:53,0
SBA,9/24/2017 4:53,0
SBA,9/24/2017 5:53,0
SBA,9/24/2017 6:53,0
SBA,9/24/2017 7:53,0
